CR Vendor Name,NS Vendor Internal ID,NS ID,CR Vendor Name (1),Concat,NS ID (1),NS Name,CR Vendor Name (2)
Am Craft Spirits,1235,VEN0047,AM Craft Spirits,VEN0047 AM Craft Spirits,VEN0047,AM Craft Spirits,AM Craft Spirits
Bellboy Corporation,20,BB,Bellboy Corporation,BB Bellboy Corporation,BB,Bellboy Corporation,Bellboy Corporation
Breakthru Beverage,19,WB2,"Breakthru Beverage Minnesota Wine & Spirits, LLC","WB Breakthru Beverage Minnesota Wine & Spirits, LLC",WB,"Breakthru Beverage Minnesota Wine & Spirits, LLC","Breakthru Beverage Minnesota Wine & Spirits, LLC"
Johnson Brothers Liquor Co,642,JB,Johnson Brothers - St. Paul,JB Johnson Brothers - St. Paul,JB,Johnson Brothers - St. Paul,Johnson Brothers - St. Paul
Libation Project,643,LP,Libation Project,LP Libation Project,LP,Libation Project,Libation Project
Maverick Wine Company,644,70000,"Maverick Beverage Co., LLC - MN","70000 Maverick Beverage Co., LLC - MN",70000,"Maverick Beverage Co., LLC - MN","Maverick Beverage Co., LLC - MN"
New France Wine,648,34000,"New France Wine Co, Inc","34000 New France Wine Co, Inc",34000,"New France Wine Co, Inc","New France Wine Co, Inc"
Origin Wine & Spirits,1238,OWS,Origin Wine & Spirits,OWS Origin Wine & Spirits,OWS,Origin Wine & Spirits,Origin Wine & Spirits
Paustis Wine Company,649,PS,Paustis Wine,PS Paustis Wine,PS,Paustis Wine,Paustis Wine
Phillips Wine & Spirits,651,PH,Phillips Wine & Spirits - St. Paul,PH Phillips Wine & Spirits - St. Paul,PH,Phillips Wine & Spirits - St. Paul,Phillips Wine & Spirits - St. Paul
Sideshow Bloody Mary Mix,5522,VEN0093,Sideshow Bloody Mary Mix,VEN0093 Sideshow Bloody Mary Mix,VEN0093,Sideshow Bloody Mary Mix,Sideshow Bloody Mary Mix
Small Lot,656,40000,Small Lot MN,40000 Small Lot MN,40000,Small Lot MN,Small Lot MN
Southern Wine & Spirits,657,SWS,Southern Glazer's Wine & Spirits of MN,SWS Southern Glazer's Wine & Spirits of MN,SWS,Southern Glazer's Wine & Spirits of MN,Southern Glazer's Wine & Spirits of MN
The Wine Company,1234,TWC,The Wine Company,TWC The Wine Company,TWC,The Wine Company,The Wine Company
Vinocopia,660,VI,"Vinocopia, Inc","VI Vinocopia, Inc",VI,"Vinocopia, Inc","Vinocopia, Inc"
Winebow (Grape Beginnings),639,664785,"Grape Beginnings, Inc.","664785 Grape Beginnings, Inc.",664785,"Grape Beginnings, Inc.","Grape Beginnings, Inc."
WRS Imports,1249,WRS,WRS Imports,WRS WRS Imports,WRS,WRS Imports,WRS Imports
Tradition Wine & Spirits,,TWS,"Tradition Wine & Spirits, LLC","TWS Tradition Wine & Spirits, LLC",TWS,"Tradition Wine & Spirits, LLC","Tradition Wine & Spirits, LLC"
"Defiant Distributors, LLC",,DF,"Defiant Distributors, LLC","DF Defiant Distributors, LLC",DF,"Defiant Distributors, LLC","Defiant Distributors, LLC"
Old World Canning Co,,VEN0063,Old World Canning Company,VEN0063 Old World Canning Company,VEN0063,Old World Canning Company,Old World Canning Company
"Bourget Imports, LLC",628,BI,"Bourget Imports, LLC","BI Bourget Imports, LLC",BI,"Bourget Imports, LLC","Bourget Imports, LLC"
"String Theory Cider, Inc.",,,"String Theory Cider, Inc.",,,"String Theory Cider, Inc.","String Theory Cider, Inc."
Winebow,,,Winebow,Winebow,,Winebow,Winebow
